id,age,sex,ses_status,BAQ_all,Inattention,PlanningError,EMOQ_all,error_anticipation,error_strain,learning_from_errors,thinking_about_errors,crt_all,Raven_all,aot_all,sds_all,MAAS_all
195,22,Nő,7,2.23,2.2,2.25,72,8,19,20,25,1,5,57,95,34
276,23,Nő,8,2.08,1.4,2.75,54,15,9,15,15,0,6,52,78,42
9,20,Nő,7,1.77,1.8,1.75,57,16,11,15,15,0,4,50,99,50
75,19,Nő,6,2,2,2,68,13,18,15,22,3,11,61,73,46
297,20,Nő,7,2.25,2,2.5,58,20,19,9,10,2,10,58,55,49
119,19,Nő,3,2.02,1.8,2.25,81,21,21,16,23,0,10,63,88,51
48,20.333333333333332,Nő,8,3.33,2.4,4.25,62,22,15,9,16,3,10,63,75,60
77,21,Férfi,6,1.73,1.2,2.25,46,19,8,8,11,3,11,57,107,54
294,27,Férfi,8,1.48,1.2,1.75,60,13,7,18,22,3,8,69,88,61
2,23,Nő,7,2.3,1.6,3,66,17,13,16,20,3,10,65,105,57
149,20,Nő,8,1.8,1.6,2,81,21,21,14,25,0,2,55,83,51
61,20,Nő,6,1.88,2,1.75,69,17,17,14,21,2,11,51,97,53
228,21,Nő,8,1.65,1.8,1.5,65,15,14,16,20,0,8,58,86,32
244,26,Nő,8,2.17,1.6,2.75,74,17,17,18,22,3,10,56,114,51
259,20,Nő,8,2.5,1,4,47,12,9,10,16,1,4,47,55,40
209,21.666666666666668,Nő,3,3.58,2.67,4.5,73,20,25,11,17,0,9,53,66,43
58,20,Férfi,8,2.58,1.4,3.75,62,11,14,16,21,3,11,64,90,49
60,19,Nő,6,2.7,2.4,3,61,15,12,13,21,0,7,59,73,37
143,20,Nő,7,2.25,2,2.5,68,19,20,12,17,1,8,56,102,53
54,23,Nő,8,2.23,2.2,2.25,72,19,19,12,22,1,1,56,87,41
117,20,Nő,8,2.38,2.5,2.25,74,18,14,18,24,0,9,59,77,31
113,21,Nő,5,2,1.5,2.5,69,14,18,15,22,3,5,59,96,44
125,23,Férfi,6,1.5,1,2,32,10,5,8,9,3,11,51,90,59
103,20,Nő,4,1.85,1.2,2.5,68,11,18,18,21,3,7,65,60,60
190,21,Nő,7,2.33,1.4,3.25,70,18,16,16,20,0,3,53,88,57
157,19,Nő,6,2.5,2.5,2.5,70,15,21,16,18,1,9,55,96,43
